,ts_code,sub_code,name,ipo_date,issue_date,amount,market_amount,price,pe,limit_amount,funds,ballot
0,601568.SH,780568,北元集团,20200930,,36111.0,10833.0,0.0,0.0,10.8,36.725,0.0
1,688386.SH,787386,泛亚微透,20200929,,1750.0,446.0,16.28,26.08,0.4,3.591,0.0
2,003012.SZ,003012,东鹏控股,20200929,,14300.0,4290.0,11.35,16.26,4.25,16.23,0.0
3,300898.SZ,300898,熊猫乳品,20200929,,3100.0,791.0,10.78,21.77,0.75,6.406,0.0
4,300999.SZ,300999,金龙鱼,20200925,,54216.0,15181.0,25.7,31.12,7.55,0.0,0.06
5,003001.SZ,003001,中岩大地,20200924,,2429.0,2186.0,30.16,22.99,0.95,7.327,0.02
6,605336.SH,707336,帅丰电器,20200924,,3520.0,3168.0,24.29,22.99,1.4,8.55,0.03
7,688330.SH,787330,宏力达,20200924,,2500.0,955.0,88.23,41.97,0.7,12.912,0.03
8,605338.SH,707338,巴比食品,20200923,,6200.0,5580.0,12.72,22.99,2.4,7.886,0.03
9,300899.SZ,300899,上海凯鑫,20200923,,1595.0,1595.0,24.43,27.35,1.55,3.897,0.01
10,003011.SZ,003011,海象新材,20200921,,1834.0,1834.0,38.67,21.93,1.8,7.092,0.01
11,688093.SH,787093,世华科技,20200918,,4300.0,1634.0,17.55,41.12,1.2,8.654,0.03
12,605099.SH,707099,共创草坪,20200918,,4009.0,3608.0,15.44,22.99,1.2,6.19,0.03
13,688585.SH,787585,上纬新材,20200917,20200928,4320.0,1231.0,2.49,11.51,0.8,0.0,0.03
14,688013.SH,787013,天臣医疗,20200917,20200928,2000.0,680.0,18.62,38.21,0.5,4.113,0.03
15,300896.SZ,300896,爱美客,20200917,20200928,3020.0,1319.0,118.27,47.9,0.75,20.583,0.02
16,605136.SH,707136,丽人丽妆,20200917,20200929,4001.0,3601.0,12.23,22.44,1.2,5.013,0.03
17,605018.SH,707018,长华股份,20200917,20200929,4168.0,3751.0,9.72,21.98,1.2,4.235,0.03
18,002998.SZ,002998,优彩资源,20200916,20200925,8160.0,7344.0,5.85,22.99,3.25,4.774,0.03
