,ts_code,chairman,manager,secretary,reg_capital,setup_date,province,city,introduction,website,email,office,business_scope,employees,main_business
0,601106.SH,陆文俊,陆文俊,胡恩国,685778.2927,20081225,黑龙江,齐齐哈尔市,公司是中央管理的涉及国家安全和国民经济命脉的国有重要骨干企业之一，是国家创新型试点企业、国家高新技术企业，拥有国家级企业技术中心、重型技术装备国家工程研究中心、国家能源重大装备材料研发中心。公司主要为钢铁、有色、电力、能源、汽车、矿山、石油、化工、交通运输等行业及国防军工提供重大成套技术装备、高新技术产品和服务，并开展相关的国际贸易。主要产品有核岛设备、重型容器、大型铸锻件、专项产品、冶金设备、重型锻压设备、矿山设备和工矿配件等。公司高度重视产品质量，建立了科学的质量保障体系并拥有先进的产品质量检测手段，先后取得了ASMEUU2、ASMENNPT、压力容器、民用核承压设备、70型船用曲轴锻件及英国LR、美国ABS、挪威DNV、中国CCS船级社等多项制造资质证书，通过了GB/T19001-2000及GJB9001A—2001质量体系认证，产品质量始终保持国内领先水平，部分产品质量达到国际先进水平。,www.cfhi.com,zjlb@cfhi.com;wu.p@cfhi.com;Hu.eg@cfhi.com,黑龙江省齐齐哈尔市富拉尔基区红宝石办事处厂前路9号,压力容器（仅限单层），第三类低、中压容器、重型机械及成套设备、金属制品、风能原动设备、发电机及发电机组设计、制造、安装、修理；金属冶炼及加工；金属材料、矿产品的销售；工业气体制造及销售；冶金工程设计；技术咨询服务；承包境外成套工程及境内国际招标工程；进出口业务；风力发电。（国家禁止或限制经营的除外）（依法须经批准的项目，经相关部门批准后方可开展经营活动）,7879,"主要产品:轧制,冶炼设备为主的冶金成套设备;以大型热壁加氢反应器为主的石化,煤液化重型压力容器;以各类冶金轧辊为主的工矿配件;为大型水电,火电机组配套的大型铸锻件;以民用核电反应堆压力容器和核岛成套铸锻件为主的核能设备;以各类液压机,热模锻压力机,机械压力机为代表的锻压设备;以重型矿用挖掘机为代表的重型矿山设备等重型机械装备.主营业务:重型机械制造业务,为冶金,电力,能源,交通运输,矿山,石化等行业及国防建设提供重大成套技术装备,高新产品和技术服务,并开展相关的国际贸易."
1,603577.SH,刘锋,刘锋,朱芳莹,28826.8235,20040406,山东,青岛市,公司是生产输电线路角钢塔、钢管塔、变电站构架等电力输送设备的高新技术企业。公司具有国内最高电压等级750KV输电线路铁塔生产许可证以及国家电网公司特高压铁塔产品供应资质。公司作为完全独立发展的民营铁塔企业代表，相对于国有背景的铁塔企业虽成立较晚，但凭借现代化的管理，先进的技术装备，灵活的市场开拓战略，在业内取得了良好的声誉，获得了较快发展。同时公司与国家电网、山东鲁能集团等大型客户建立了长期稳定的业务合作关系。,www.hjttower.com,hjt@hjttower.com,山东省青岛市胶州市铺集镇东部工业区,锅炉辅助设备、输变电铁塔、钢管杆、钢管塔、钢管变电构支架、微波通讯塔、金属结构、风力发电设备、光伏发电设备、海洋工程装备、预制装配式建筑构件、抗震支架、支吊架研发、设计、制造、铁塔的研发、制造、销售及安装（特种设备除外），压力容器的销售，建筑工程、建筑安装工程、建筑装饰工程、室内外装饰装修工程、电力工程设计、施工，电力设施承装、巡检、巡视、巡查，输变电工程专业承包，电力线路及设备安装，房屋建筑工程施工，土石方工程施工，市政公用工程施工，建筑机械设备安装，钢结构安装工程施工，地基与基础工程，建筑劳务分包，批发、零售：钢材、五金、风力发电设备辅件、零件，热镀锌（仅限分支机构生产经营），经营本企业自产品及技术的出口业务和本企业所需的机械设备、零配件、原辅材料及技术的进口业务（国家限定公司经营或禁止进出口的商品及技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,1524,"主营业务:专注于输电线路铁塔的研发,设计,生产和销售.主营产品为输电线路铁塔."
2,600901.SH,熊先根,张义勤,周柏青,298664.9968,19880423,江苏,南京市,公司是经中国银行业监督管理委员会批准从事融资租赁业务的国有非银行金融机构，是国内著名的金融租赁公司之一。江苏金融租赁坚持“服务中小、服务民生、服务三农”的市场定位，专注培养专业化融资租赁服务能力。近三十年来，已成功为上万家中小企事业单位提供了特色化金融服务，成为国内中小企业等领域领先的金融租赁公司，形成了产融结合、服务实业的“厂商租赁”特色品牌。公司将发挥多元化股东优势，结合国际、国内租赁实践经验，不断创新服务模式，持续提升核心竞争力，努力成为国内设备融资租赁标杆企业。,www.jsleasing.cn,info@jsleasing.cn;zhengquan.zhou@jsleasing.cn;zhengquan.zhang@jsleasing.cn,"江苏省南京市建邺区嘉陵江东街99号金融城1号楼8-9,11-19,25-33层",(一)融资租赁业务；(二)转让和受让融资租赁资产；(三)固定收益类证券投资业务；(四)接受承租人的租赁保证金；(五)吸收非银行股东3个月(含)以上定期存款；(六)同业拆借；(七)向金融机构借款；(八)境外借款；(九)租赁物变卖及处理业务；(十)经济咨询；(十一)中国银行保险监督管理委员会批准的其他业务。,315,"主营业务为融资租赁业务,主要服务的行业涉及医疗,教育,工业制造,农业机械等."
3,688202.SH,陈金章,CHUN-LIN CHEN,王国林,6200.0,20040202,上海,上海市,公司是一家专业的生物医药临床前综合研发服务CRO，为全球的医药企业和科研机构提供全方位的符合国内及国际申报标准的一站式新药研发服务。公司的CRO服务涵盖药物发现、药学研究以及临床前研究。公司为国内大型制药企业及众多新兴的知名创新生物技术企业提供全方位新药临床前研发服务，是少数拥有国内领先、国际先进、符合国际临床前研究标准的综合性技术服务平台的临床前CRO企业之一。公司主要通过接受客户的委托，开展新药研究服务，并按照合同约定将研究成果和数据等资料移交给客户，从而向客户收取研究服务费来实现盈利。公司拥有全面的临床前新药研发能力及丰富的研发经验，公司创始人CHUN-LIN CHEN先生是“千人计划”国家特聘专家，各业务板块主要管理人员都在医药研发领域经验丰富，公司的研究质量控制体系达到国际先进水平。,www.medicilon.com.cn,IR@medicilon.com.cn,上海市浦东新区川沙新镇川大路585号,"爱滋病药物、抗癌药增敏剂、基因工程疫苗及生物医药中间体的研发,转让自有技术成果,并提供相关技术咨询、技术服务及自有技术的进出口,药用化合物、精细化学品(除危险化学品、监控化学品、烟花爆竹、民用爆炸物品、易制毒化学品)的研发、批发及进出口。【依法须经批准的项目,经相关部门批准后方可开展经营活动】。",1219,"公司致力于为医药企业和其他新药研发机构提供全方位的新药研发外包服务.公司可以为医药企业和其他新药研发机构的新药研发提供包括药物探索与发现,药学研究及临床前研究全方位服务,协助客户快速,高效地完成新药研发临床前研究各个阶段."
4,605366.SH,纪金树,纪金树,张捷,33200.0,20051231,江西,景德镇市,公司主营业务为功能性硅烷、纳米硅材料等硅基新材料及其他化学助剂的研发、生产与销售，是我国功能性硅烷，特别是含硫硅烷细分领域中具备循环经济体系及世界领先产业规模的企业之一。公司与境内外大型知名轮胎制造商普利司通、米其林、固特异、德国马牌、韩泰、住友、中策等建立了紧密的长期业务合作关系。根据《中国硅产业年鉴(2014)》及《精细化工与专用化学品》，公司是国内功能性硅烷行业龙头企业之一。公司是高新技术企业，拥有本部技术部、哈尔滨硅材料研究所、东莞应用研发中心三个研发部门。公司还与杜善义院士团队合作设有院士工作站，进行产品工艺的改造设计。经过多年积累，公司掌握了含硫硅烷、新一代氨基硅烷、下一代含硫硅烷及气凝胶的生产技术。,www.hungpai.net,hpxc@hungpai.com,江西省景德镇市乐平市塔山工业园区工业九路,硅烷偶联剂、高分子材料辅助材料、 工业盐、消毒剂、一般化学品的制造、销售（以上项目不含危险化学品）； 硫酸、 盐酸、四氯化硅、三氯氢硅、白炭黑、次氯酸钠制造、销售；硅材料、高分子材料、符合材料、绝热材料的技术开发、技术咨询。 （依法须经批准的项目，经相关部门批准后方可开展经营活动）。,1068,"主要产品包括硅烷偶联剂和气相白炭黑.主营业务为功能性硅烷,纳米硅材料等硅基新材料及其他化学助剂的研发,生产与销售."
5,688558.SH,潘卫国,潘卫国,卫红燕,13200.0,19990831,江苏,南通市,公司是国内领先的金属切削类中高档数控机床以及智能自动化生产线提供商，主要根据下游精密模具、新能源、航空航天、轨道交通、汽车、3D打印、生物医药、工程机械、工业阀门等终端领域客户的应用需求提供智能制造一体化解决方案，业务流程覆盖技术研发、方案设计、关键部件研制、软件二次开发与优化、系统集成、安装调试、售后技术支持等环节，公司致力于中高档数控机床开发，为用户提供有效解决方案和“高精、高速、高效、高稳定性”产品，具有一定的知名度、美誉度，综合实力居国内同行业前列，现已发展成为国内为数不多的成功开发出五轴联动数控机床等高档数控机床并实现量产的新兴智能装备制造商之一，与海天精工、日发精机等少数企业共同成长为中国数控机床行业新生力量，在部分领域逐渐形成优势，能够对标全球智能制造装备行业领先企业，如马扎克、德马吉森精机、大隈等，实现部分产品进口替代，甚至出口发达国家市场，成功打破先进工业化国家在五轴联动等高端装备上对中国的封锁、限制。,www.ntgszk.com,gsipo@ntgszk.com,江苏省南通市港闸经济开发区永通路2号,数控加工中心、数控机床及关键零部件、五轴联动数控机床、数控卧式镗铣加工中心、车铣复合加工中心、自动化成套生产线、工业机器人、智能专用设备、智能控制系统的研发、生产、销售、安装及技术服务；经营本企业自产产品及技术的出口业务和本企业所需的机械设备、零配件、原辅材料及技术的进口业务，但国家限定公司经营或禁止进出口的商品及技术除外。(依法须经批准的项目，经相关部门批准后方可开展经营活动),752,"从事数控机床和机床附件制造,主营业务为数控机床,以机床设备为主的精密钣焊产品和精密机床铸件的研发,生产和销售."
6,603115.SH,陈健,周小兵,葛艳锋,20800.0,19980108,江苏,南通市,"公司是经江苏省科技厅、财政厅、国税局、地税局联合认定的高新技术企业，主营业务为铝电解电容器用电极箔的研发,生产和销售,主要产品为铝电解电容器用全系列低压,中高压电极箔.公司建有江苏省电子元件功能材料与装备工程技术研究中心，并凭借行业领先的竞争优势，承担并实施了国家级火炬计划项目5项、国家中小企业创新基金项目1项、江苏省火炬计划项目3项、江苏省科技支撑计划2项，拥有江苏省高新技术产品4项，主要产品曾荣获江苏省科学技术奖三等奖、南通市科技进步一等奖、江苏名牌产品等各类奖项。公司生产的电极箔产品广泛应用于节能照明、消费电子、通讯电子、工业机电等各领域用铝电解电容器当中。公司凭借严格的质量控制、持续的研发投入和有效的品牌建设，在行业内建立了较高的品牌知名度，并先后与贵弥功(NCC)、尼吉康(Nichicon)、韩国三莹(Samyoung)、艾华集团(603989)、江海股份(002484)、立隆电子(Lelon)等全球排名前十的电容器企业以及韩国三和(Samwha)、中国台湾智宝(Teapo)、广州金日科技有限公司、丰宾电子(深圳)有限公司等知名电容器厂商建立了良好的合作关系。",www.haistar.com.cn,gyf@haistar.com.cn,江苏省南通市通州区平潮镇通扬南路519号,电极箔(化成箔、腐蚀箔)、电极箔生产设备及配件生产、销售；实业投资；商品及技术的进出口业务(国家禁止或限制企业经营的商品和技术除外)。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,712,"主营业务为铝电解电容器用电极箔的研发,生产和销售,主要产品为铝电解电容器用全系列低压,中高压电极箔."
7,688096.SH,李武林,李武林,苏海娟,10729.35,19990330,江苏,南通市,公司是一家资源环境综合服务商，能够为广大业主单位和政府部门提供从项目咨询、项目开发、项目管理、工程设计、工程建设、运营管理和投融资等一站式综合服务的高科技公司。公司为高新技术企业、省文明单位、省AAA级信用企业、市十佳科技示范企业、明星企业、纳税大户。公司是高新技术企业，拥有一支以“江苏省工程技术研究中心”和“江苏省研究生工作站”为载体的工业水处理科研技术队伍，公司员工中一半以上为研发、技术人员，大多具有丰富的工业水处理研发技术工作经验。公司在关键技术自主开发的同时，也与中国工程院院士及其团队、中科院生态环境研究中心等国内权威科研机构开展产学研合作，实现科研资源最大化整合。截至目前，公司共拥有6项发明专利权、19项实用新型专利权和30项软件著作权。公司承担完成了两项国家火炬计划项目，以及两项江苏省火炬计划项目。公司8项产品被认定为江苏省高新技术产品，5项产品被授予南通市科学技术进步奖。公司是中国环保产业协会会员、中国环境科学学会理事单位、江苏省绿色环保优秀企业。,www.jsjyep.com,jsjy@jsjyep.com,江苏省南通市工农南路88号海外联谊大厦26层2607-2612室,水处理设备的研发、设计、制造、销售和安装；环保成套设备、机电设备、自动化与工业过程自动化系统集成的研制、生产、销售和安装；环境污染防治工程设计、治理和施工；防腐系列产品的研制、生产和销售；计算机技术开发与应用；生活污水、工业污水治理；环保、水处理、市政公用领域的项目开发、建设、管理；生态环境治理；土壤治理及修复；上述技术服务及信息咨询；自营和代理上述商品及技术的进出口业务(国家限定企业经营或禁止进出口的商品和技术除外)；(经营范围中涉及制造、生产的另设分支机构经营)。(依法须经批准的项目，经相关部门批准后方可开展经营活动),227,"一直专注于工业水处理领域,依托工业废水电子絮凝处理技术,高难废水零排放技术和高难废水电催化氧化技术等自研核心技术,主要向大型企业客户提供工业水处理专用设备的研发,设计与咨询,集成与销售以及工程承包业务."
8,601179.SH,白忠泉,裴振江,田喜民,512588.2352,20080430,陕西,西安市,公司是我国最具规模的高压、超高压及特高压输配电成套设备研究开发、生产制造和试验检测的重要基地，是目前我国高压、超高压及特高压交直流成套输配电设备生产制造企业中产品电压等级最高、产品品种最多、工程成套能力最强的企业。公司主导产品是110kV及以上电压等级的高压开关、变压器、电抗器、电力电容器、互感器、直流输电换流阀等。产品已在西北750kV示范工程成功运行，国内首台800kV双断口罐式断路器在银川东变电站已经投入运行。国际市场上，产品和技术已出口40多个国家和地区，并成功地进入了德国、美国、新加坡、中国香港等发达国家和地区市场。,www.xdect.com.cn,dsh@xd.com.cn;lorestyle@163.com,陕西省西安市高新区唐兴路7号A座,输配电和控制设备及相关电器机械和器材、机械电子一体化产品、电子通信设备、普通机械的研究、设计、制造、销售及相关技术研究、服务；经营本公司自产产品的出口业务和本公司所需机械设备、零配件、原辅材料的进口业务，国内外电网、电站成套工程的总承包和分包，及其他进出口贸易；商务服务和科技交流业务；房屋及设备的租赁。(以上经营范围除法律法规的前置许可项目，法律法规另有规定的从其规定),13116,"主要产品:公司的主导产品是110kV及以上电压等级的高压开关(GIS,GCB,隔离开关,接地开关),变压器(电力变压器,换流变压器),电抗器(平波电抗器,并联电抗器),电力电容器,互感器(CVT,CT,PT),绝缘子(电站电瓷产品,复合材料绝缘子产品),套管,氧化锌避雷器,直流输电换流阀等.主营业务:本公司的主营业务为输配电及控制设备研发,设计,制造,销售,检测,相关设备成套,技术研究,服务与工程承包,核心业务为高压,超高压及特高压交直流输配电设备制造,研发和检测."
9,601985.SH,刘敬,马明泽,罗小未,1556546.0775,20080121,北京,北京市,公司由中国核工业集团有限公司作为控股股东，联合中国长江三峡集团有限公司、中国远洋海运集团有限公司和航天投资控股有限公司共同出资设立的。公司经营范围涵盖核电项目的开发、投资、建设、运营与管理；清洁能源项目的投资、开发；输配电项目投资、投资管理；核电运行安全技术研究及相关技术服务与咨询业务；售电等领域。秦山核电30万千瓦核电机组是中国第一座依靠自己力量研究、设计、建造和管理的核电站。曾被国家领导人邹家华题词为“国之光荣”；吴邦国题词为“中国核电从这里起步”。公司曾荣获中央企业先进集体和中国证券“金紫荆”最佳上市公司、全国电力行业企业文化建设示范单位等称号。,www.cnnp.com.cn,cnnp_zqb@cnnp.com.cn;lixingl@cnnp.com.cn,北京市海淀区玲珑路9号院东区10号楼,核电项目及配套设施的开发、投资、建设、运营与管理；清洁能源项目投资、开发；输配电项目投资、投资管理；核电运行安全技术研究及相关技术服务与咨询业务；售电。,13152,"主营业务;核电项目的开发,投资,建设,运营与管理,核电运行安全技术研究及相关技术服务与咨询业务.主要产品:是电力."
