T06,"Enrolment in primary, secondary and tertiary education levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Students enrolled in primary education (thousands),678920.8179,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2005,Gross enrollment ratio - Primary (male),104.5005,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2005,Gross enrollment ratio - Primary (female),99.7310,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2005,Students enrolled in secondary education (thousands),509254.2941,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2005,Gross enrollment ratio - Secondary (male),65.7811,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2005,Gross enrollment ratio - Secondary (female),62.3132,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2005,Students enrolled in tertiary education (thousands),139578.2491,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2005,Gross enrollment ratio - Tertiary (male),23.7645,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2005,Gross enrollment ratio - Tertiary (female),24.9429,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2010,Students enrolled in primary education (thousands),697001.1514,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2010,Gross enrollment ratio - Primary (male),104.4358,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2010,Gross enrollment ratio - Primary (female),101.7763,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2010,Students enrolled in secondary education (thousands),546192.2096,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2010,Gross enrollment ratio - Secondary (male),72.1982,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2010,Gross enrollment ratio - Secondary (female),69.8407,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2010,Students enrolled in tertiary education (thousands),182257.6784,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2010,Gross enrollment ratio - Tertiary (male),28.4958,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2010,Gross enrollment ratio - Tertiary (female),30.6914,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2014,Students enrolled in primary education (thousands),715427.0483,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2014,Gross enrollment ratio - Primary (male),102.8891,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2014,Gross enrollment ratio - Primary (female),102.6662,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
